10.0.89.127, 00:15:4d:59:7f:ad
10.0.214.65, 00:15:4d:d6:41:bd
10.0.178.75, 00:15:4d:b2:4b:c8
10.0.24.77, 00:15:4d:18:4d:d8
10.0.199.54, 00:15:4d:c7:36:9f
10.0.234.48, 00:15:4d:ea:30:28
10.0.175.130, 00:15:4d:af:82:8c
10.0.244.158, 00:15:4d:f4:9e:b3
10.0.185.52, 00:15:4d:b9:34:6d
10.0.159.176, 00:15:4d:9f:b0:37
10.0.125.19, 00:15:4d:7d:13:9f
10.0.56.49, 00:15:4d:38:31:6f
10.0.75.197, 00:15:4d:4b:c5:1f
10.0.75.209, 00:15:4d:4b:d1:a9
10.0.92.11, 00:15:4d:5c:0b:d3
10.0.31.144, 00:15:4d:1f:90:cb
10.0.32.134, 00:15:4d:20:86:6c
10.0.50.179, 00:15:4d:32:b3:09
10.0.0.57, 00:15:4d:00:39:c4
10.0.16.109, 00:15:4d:10:6d:cf
10.0.192.32, 00:15:4d:c0:20:d2
10.0.90.135, 00:15:4d:5a:87:1e
10.0.75.126, 00:15:4d:4b:7e:c4
10.0.63.10, 00:15:4d:3f:0a:ae
10.0.161.129, 00:15:4d:a1:81:9f
10.0.129.60, 00:15:4d:81:3c:5e
10.0.143.99, 00:15:4d:8f:63:5c
10.0.32.35, 00:15:4d:20:23:a7
10.0.14.88, 00:15:4d:0e:58:7a
10.0.23.41, 00:15:4d:17:29:ae
10.0.90.214, 00:15:4d:5a:d6:d0
10.0.181.34, 00:15:4d:b5:22:c3
